logFC	AveExpr	t	P.Value	adj.P.Val	B
623796	-3.2253015	1.66419925	-7.71993499348632	0.00174174518326266	0.530241586976658	-4.31811062023136
14171	4.3690615	-2.77389125	7.09700194376658	0.00236833940656189	0.530241586976658	-4.32232691299648
12354	-4.2835875	1.77113625	-6.68530960730486	0.00294071319319108	0.530241586976658	-4.32570912418512
193740	2.800031	-0.7702075	6.63753879028949	0.00301776907759098	0.530241586976658	-4.3261381177133
15511	2.7493085	-0.41187775	6.30804422676096	0.00362348453216253	0.530241586976658	-4.32933372609811
12738	-4.9790295	1.26863675	-6.19783824642242	0.00385914814671458	0.530241586976658	-4.33050304176073
58865	-3.472597	1.2641705	-5.72938881918965	0.0051003729342847	0.530241586976658	-4.33613549658874
14275	-4.000988	1.7330615	-5.66656586546586	0.0053023225437368	0.530241586976658	-4.33698253478999
14917	-5.999471	3.275707	-5.65317111015588	0.00534664999436561	0.530241586976658	-4.33716623318096
14422	-2.66768	0.9257645	-5.52196800545364	0.00580595766095838	0.530241586976658	-4.33902546120304
432777	-2.3383865	1.53327775	-5.130392461577	0.00749814144222296	0.530241586976658	-4.34529209026371
22784	-3.343831	0.54736	-4.91528115003431	0.00868697166435643	0.530241586976658	-4.34926376358997
18811	2.120363	5.521577	4.88975903273731	0.0088429138949523	0.530241586976658	-4.34976316888149
12309	-4.143282	2.728554	-4.78731467876403	0.00950445448375603	0.530241586976658	-4.3518322149054
22349	-3.266166	1.6382395	-4.67332378788944	0.0103133056907991	0.530241586976658	-4.35426196016361
218476	-1.806285	0.794798	-4.52125349379434	0.0115277952801903	0.530241586976658	-4.35772900398718
30962	-4.2420635	1.08143925	-4.41180126969085	0.0125111232146486	0.530241586976658	-4.36039697848813
69307	-3.0155615	0.37186525	-4.32889903298453	0.0133245940951573	0.530241586976658	-4.36252108625424
212070	-6.3038865	3.17891575	-4.31338137908797	0.0134839402390796	0.530241586976658	-4.36292901151925
226564	-5.7111295	0.60583025	-4.30988096268672	0.0135202050725082	0.530241586976658	-4.36302149005514
72112	-5.97433	1.3978045	-4.18706028125463	0.0148712339066936	0.530241586976658	-4.36637687361567
20518	-7.2762895	0.43280875	-4.17021022872469	0.0150691466760594	0.530241586976658	-4.36685449292209
22626	-4.551519	2.347363	-4.11385471195764	0.0157547287954391	0.530241586976658	-4.36848349268623
18399	-5.909551	1.1299805	-4.05876664952447	0.0164618174034264	0.530241586976658	-4.37012416603537
57890	1.688694	0.2926475	3.95086846335026	0.0179616142599721	0.530241586976658	-4.37348270632335
16369	1.598848	1.4331435	3.84564720808483	0.0195863630056777	0.530241586976658	-4.37695380947096
75084	-1.6552425	0.36009525	-3.84552061285277	0.0195884223164948	0.530241586976658	-4.3769581075773
14261	-4.21905	1.1879405	-3.81670521359648	0.0200640383843882	0.530241586976658	-4.3779442797362
208111	-1.631079	0.715201	-3.81525827221266	0.0200882864985145	0.530241586976658	-4.37799421410185
319272	-1.55464	0.714305	-3.72921700597137	0.0215959170582036	0.530241586976658	-4.38103658902933
72002	-3.754575	1.501432	-3.69539834016428	0.0222256073081402	0.530241586976658	-4.38227278000287
171284	-3.884044	2.0136255	-3.68854737699434	0.022355849054561	0.530241586976658	-4.38252605821519
14120	-4.974896	1.3515325	-3.64936965184614	0.0231185405447287	0.530241586976658	-4.38399321997217
18617	-2.911148	1.811539	-3.63472731964368	0.0234115991326647	0.530241586976658	-4.38454986918345
320333	-2.782632	2.1926355	-3.63348309150932	0.0234367069966078	0.530241586976658	-4.38459738119713
27219	-5.823897	1.822588	-3.62313653146118	0.0236467535876689	0.530241586976658	-4.38499376097179
107849	3.9061835	5.03462375	3.59561720995782	0.024216532561355	0.530241586976658	-4.38605930829116
81014	-1.5314495	0.52063375	-3.54780271955088	0.0252462417139175	0.530241586976658	-4.38795037233226
101694	-3.2640135	-0.65925175	-3.53645403172567	0.0254983058142819	0.530241586976658	-4.38840674831429
268663	-3.903391	1.14036	-3.52312712690649	0.0257981715435304	0.530241586976658	-4.38894642385359
114644	-3.672903	2.1507685	-3.50941276538663	0.026111180108056	0.530241586976658	-4.38950605023716
100038847	-2.3191135	1.96812625	-3.50235372905947	0.0262740650963281	0.530241586976658	-4.38979579724034
19113	1.800605	4.0921695	3.48759503695809	0.0266185678599157	0.530241586976658	-4.39040534053624
75202	-1.468909	0.7825975	-3.4333981228234	0.0279309357980942	0.530241586976658	-4.3926879850606
239167	-1.5788465	0.21394925	-3.39203541494601	0.0289848202099013	0.530241586976658	-4.39447801360931
107753	-4.6529905	2.52961625	-3.35085065731827	0.0300817117149138	0.530241586976658	-4.39630276299313
66112	-3.7181295	1.26014975	-3.34112584350726	0.0303479044010253	0.530241586976658	-4.39673993227247
238055	-3.723818	2.020084	-3.29418619391518	0.0316729522802679	0.530241586976658	-4.39888458467328
65969	-5.9494605	2.80507625	-3.28977892671335	0.0318008701062562	0.530241586976658	-4.39908892577431
71091	-1.37236	0.674822	-3.27684514481458	0.0321798316103731	0.530241586976658	-4.39969158292439
30060	-2.2310505	0.52616475	-3.27548721250459	0.0322199302887762	0.530241586976658	-4.39975511610057
230163	-4.605045	1.461912	-3.2682427082333	0.0324348626755365	0.530241586976658	-4.40009489965303
