Gene,c,c,d,d
111241,10.484471,9.744419,11.136328,10.268108
15130,5.499728,0.417311,3.054834,8.62678
104069,7.375134,4.777348,3.253088,5.339354
270599,4.423633,7.111249,5.056474,3.557777
19110,7.033219,3.246364,2.338775,4.010003
107849,8.255136,5.720295,3.69173,2.471334
18811,6.820292,6.343225,4.529459,4.393332
56635,6.654838,4.324366,4.944496,1.545335
13070,3.973659,4.468756,2.307066,4.393332
114872,3.5262,3.676352,2.865062,3.471334
18775,4.154231,3.568292,2.823642,3.10605
18812,3.388696,5.457261,3.252618,3.030762
19113,4.569269,5.415675,3.007081,3.376653
13421,1.651731,5.502704,3.307066,3.030762
16185,3.040859,4.612998,3.088738,2.175004
21942,1.651731,5.552172,2.307066,2.223407
20287,1.803734,3.335173,1.789218,1.223407
246190,2.651731,2.398367,1.137141,1.808369
14411,2.236693,2.361841,0.055504,1.545335
243862,2.651731,3.002438,1.274645,2.425041
77522,2.651731,2.398367,2.459069,3.808369
18776,1.314696,6.912489,2.845486,0.545335
26898,1.651731,6.909329,3.837581,1.808369
18703,5.236693,0.302073,1.722104,1.915285
14916,6.128545,1.005356,1.596573,1.40561
22264,5.781014,0.430447,1.666999,1.799807
99686,4.366516,3.112063,3.100615,2.486441
214523,8.854021,0.269084,2.137141,2.416052
76905,8.638646,0.813405,2.359534,1.223407
16612,8.31507,2.076439,4.044032,4.31087
53315,5.911623,3.19836,4.58099,5.515253
641361,8.39368,3.921425,7.152052,7.068393
11814,4.345809,0.076439,1.722104,4.31087
18124,3.566417,0.508524,1.447821,4.062118
14171,0.066768,1.245489,4.958422,4.958422
100504156,1.066768,2.245489,2.184787,5.221286
18071,1.066768,3.093486,2.447821,3.946518
64290,1.066768,4.621061,2.670214,4.621061
15208,3.065216,4.245489,3.184787,2.098521
17703,2.219992,5.004853,5.004853,1.583948
71137,2.435252,2.830452,5.319649,0.876129
22774,1.066768,3.359559,3.359559,0.776593
18014,3.708753,2.245489,4.941419,0.223407
11923,3.309864,3.382993,2.32229,0.651062
16873,3.028148,2.938886,2.938886,0.808369
18992,2.388696,3.245489,2.599824,0.398082
381359,1.066768,3.085859,3.085859,0.776593
545474,1.716805,4.212505,4.212505,0.223407
22771,3.236693,1.830452,1.769749,0.016956
11924,2.236693,5.394806,0.225429,0.053482
630499,3.388696,5.986051,0.862859,0.030762
17195,2.933232,4.956094,7.016796,8.42499
207854,5.797279,5.114258,7.049429,9.653543
11537,3.524364,2.076439,7.925044,2.545335
15398,4.015098,5.390971,6.714707,3.216011
622117,3.84493,2.898874,4.959577,7.133305
100038628,1.25516,4.436704,6.197846,6.975989
15007,0.585308,6.078561,7.056801,7.640566
13034,1.443716,5.125682,5.970031,5.193033
545056,0.874123,6.918084,5.600275,7.271503
544707,1.518194,7.153255,7.431762,6.580959
11808,5.47239,2.634434,6.052025,6.760841
20518,5.487111,0.923561,3.459069,4.682838
12279,0.518194,2.646091,4.291756,6.793059
14917,0.933232,1.485175,5.63334,6.917545
99662,0.933232,4.579556,5.31833,7.159483
19202,0.933232,5.324366,3.944496,5.615724
72040,1.933232,4.072879,5.133581,7.027202
