genes,C1,C2,T1,T2
gi|161484641|ref|NM_026673.3|,45.34,67.04,84.65,78.81
gi|133892677|ref|NM_053109.2|,222.38,131.51,160.35,151.37
gi|158533994|ref|NM_001110101.1|,0,0.69,0,0.68
gi|54027903|ref|NM_032543.1|,0,0.34,0.34,0
gi|142387942|ref|NM_153585.4|,17.41,47.32,35.48,25.03
gi|22779863|ref|NM_026772.1|,37.06,9.94,7.1,16.57
gi|108773812|ref|NM_001002929.3|,16.72,25.89,26.7,25.2
gi|83921619|ref|NM_019756.2|,11.03,8.74,10.81,11.67
gi|121674796|ref|NM_008917.2|,19.31,12.17,19.43,15.05
gi|226874894|ref|NM_013625.3|,118.09,171.64,178.26,154.75
gi|118130222|ref|NM_011056.2|,0,0,0.51,0.34
gi|37595741|ref|NM_029498.2|,12.07,23.15,28.89,23.34
gi|260064028|ref|NM_001042726.2|,8.96,24.35,39.37,28.07
gi|118129961|ref|NM_138309.2|,24.82,20.58,19.26,14.04
gi|40807501|ref|NM_015805.2|,13.96,14.57,10.64,16.07
gi|146141133|ref|NM_024225.4|,153.6,184.5,147.5,178.09
gi|146135073|ref|NM_025693.3|,21.55,30.86,35.31,27.06
gi|256355150|ref|NR_015508.1|,1.72,2.74,2.53,3.72
gi|142370490|ref|NM_177777.4|,8.79,8.23,10.14,5.58
gi|142384079|ref|NM_025452.3|,3.1,2.91,2.53,3.89
gi|218749872|ref|NM_009067.4|,156.01,67.21,59.31,79.83
gi|19424143|ref|NM_026906.2|,6.38,0,0,0
gi|118130919|ref|NM_133732.2|,28.1,18,14.53,19.79
gi|165932359|ref|NM_009263.2|,1987.49,1.37,2.37,2.03
gi|30519990|ref|NM_178637.1|,0,0.34,0,0
gi|34328321|ref|NM_023805.2|,2.93,1.89,1.69,0.51
gi|133892630|ref|NM_022880.2|,79.13,24.52,14.7,24.69
gi|145275166|ref|NM_008160.5|,208.42,149.35,147.67,174.03
gi|254939616|ref|NM_021327.2|,27.58,8.92,6.08,9.98
gi|309262796|ref|XM_001472091.2|,4.48,0,0.34,0.51
gi|164664505|ref|NM_001113394.1|,0,0.34,0,0
gi|114158676|ref|NM_028190.2|,16.2,31.04,49.84,25.37
gi|89274170|ref|NM_026408.3|,0.34,13.72,13.35,10.49
gi|133892753|ref|NM_009568.2|,0.69,1.54,1.86,0.51
gi|51591904|ref|NM_033477.1|,0,0.34,0,0
gi|141801912|ref|NM_030560.3|,1.03,1.37,1.52,2.37
gi|51317396|ref|NM_133788.1|,22.93,36.18,28.22,29.09
gi|133892163|ref|NM_019959.2|,6.03,0,0,0
gi|125630310|ref|NM_178889.3|,0,0.69,0.34,0
gi|229608917|ref|NM_181405.3|,54.13,48.87,35.65,40.59
gi|51172611|ref|NM_008096.1|,0,0,0,2.37
gi|33468896|ref|NM_010295.1|,0.69,0.51,0.34,0.68
gi|309263372|ref|XR_106972.1|,2.93,0,0,0
gi|40254547|ref|NM_019572.2|,28.62,77.85,93.27,76.95
gi|110347401|ref|NM_010066.3|,40.86,47.5,47.31,50.91
gi|91598585|ref|NM_001005506.2|,22.76,55.21,40.72,34.16
gi|146134457|ref|NM_173071.2|,1.03,3.09,2.03,2.88
gi|133892199|ref|NM_183175.3|,8.62,0,0,0.34
gi|142366188|ref|NM_030888.3|,0,4.29,6.25,2.71
gi|98986315|ref|NM_026582.3|,10.34,40.12,51.36,50.91
gi|118131199|ref|NM_016915.3|,27.07,9.09,13.85,10.82
gi|80861453|ref|NM_001036684.1|,0.34,0,0,0
gi|158508720|ref|NM_007915.4|,89.3,85.9,83.81,84.39
gi|160333608|ref|NR_003967.1|,60.16,35.15,9.46,25.2
gi|164664499|ref|NM_001113391.1|,3.96,0,0,0
gi|13507637|ref|NM_030700.1|,96.54,71.33,57.45,69.68
gi|46560562|ref|NM_011365.2|,26.03,15.6,15.38,21.65
gi|34328178|ref|NM_010602.2|,0.86,1.37,0.68,1.69
gi|124486611|ref|NM_001081017.1|,0.34,0.69,1.01,0
gi|20270197|ref|NM_025897.1|,18.96,23.83,21.12,25.71
gi|83816979|ref|NM_133734.2|,14.14,15.95,13.18,12.01
gi|118130684|ref|NM_023871.3|,59.65,203.01,259.36,173.69
gi|160333431|ref|NM_026665.3|,16.03,44.24,48.83,43.63
