a,c,b,d,p,OR,X
2,66291,214,1945016,0.051057794,0.274210973,5S_rRNA
1,66291,240,1945016,0.01223989,0.122252392,7SK
1,66291,29,1945016,0.990841086,1.011743936,A4GALT
1,66291,14,1945016,0.464634092,2.095755295,A4GNT
5,66291,39,1945016,0.002722565,3.761612069,AAAS
3,66291,104,1945016,0.775518909,0.846362715,AACS
1,66291,108,1945016,0.164252113,0.271671983,AACSP1
3,66291,55,1945016,0.423442108,1.600394953,AAGAB
10,66291,265,1945016,0.75184465,1.107191477,AAK1
1,66291,24,1945016,0.843680456,1.222523922,AAR2
1,66291,79,1945016,0.305368675,0.371399673,AASDH
1,66291,21,1945016,0.74269846,1.397170197,AASDHPPT
4,66291,195,1945016,0.309624103,0.601857931,AATF
1,66291,2,1945016,0.003566767,14.67028707,AB074162
5,66291,8,1945016,1.23E-12,18.33785883,AB429224
2,66291,218,1945016,0.047371677,0.269179579,ABCA12
6,66291,306,1945016,0.17439752,0.575305375,ABCA1
1,66291,136,1945016,0.092512527,0.215739516,ABCA17P
3,66291,146,1945016,0.380565348,0.60288851,ABCA4
3,66291,82,1945016,0.904025497,1.073435639,ABCA5
6,66291,134,1945016,0.511846834,1.313757051,ABCA7
1,66291,79,1945016,0.305368675,0.371399673,ABCB10
1,66291,233,1945016,0.013976519,0.125925211,ABCB5
3,66291,118,1945016,0.614881397,0.7459468,ABCB7
4,66291,55,1945016,0.133920838,2.133859937,ABCB8
3,66291,340,1945016,0.012014484,0.258887419,ABCC10
1,66291,33,1945016,0.907762995,0.889108307,ABCC11
3,66291,170,1945016,0.24988927,0.517774838,ABCC12
33,66291,119,1945016,4.97E-37,8.136461735,ABCC1
8,66291,97,1945016,0.013095122,2.419841166,ABCC2
26,66291,89,1945016,4.20E-31,8.57140368,ABCC3
54,66291,352,1945016,1.52E-29,4.501110805,ABCC4
2,66291,111,1945016,0.36355556,0.528658993,ABCC5
3,66291,208,1945016,0.127305539,0.423181358,ABCC8
12,66291,140,1945016,0.001495518,2.514906354,ABCD3
2,66291,56,1945016,0.948179644,1.047877648,ABCF2
12,66291,191,1945016,0.036880875,1.843386857,ABCG2
12,66291,169,1945016,0.011999914,2.083354376,ABHD12
2,66291,33,1945016,0.422910456,1.778216614,ABHD13
1,66291,6,1945016,0.103389312,4.890095689,ABHD14B
2,66291,32,1945016,0.398254672,1.833785883,ABHD16A
6,66291,88,1945016,0.093658498,2.000493691,ABHD17C
77,66291,258,1945016,1.65E-90,8.756682978,ABHD2
8,66291,25,1945016,1.59E-11,9.388983723,ABHD4
3,66291,177,1945016,0.220822669,0.497297867,ABI1
5,66291,181,1945016,0.642469731,0.810513098,ABI2
3,66291,370,1945016,0.007031355,0.237896547,ABI3BP
20,66291,298,1945016,0.002794118,1.969166049,ABL1
5,66291,223,1945016,0.350921827,0.657860407,ABL2
24,66291,493,1945016,0.08647671,1.42834438,ABLIM1
14,66291,365,1945016,0.664308056,1.125391885,ABLIM2
3,66291,168,1945016,0.258858766,0.523938824,ABLIM3
6,66291,4685,1945016,5.55E-34,0.037575975,abParts
6,66291,297,1945016,0.199567597,0.592738871,ABR
2,66291,23,1945016,0.187693977,2.551354273,ABRACL
1,66291,10,1945016,0.281679905,2.934057414,ABT1
38,66291,303,1945016,4.86E-16,3.679675964,ABTB2
15,66291,79,1945016,6.19E-12,5.570995089,AC2
2,66291,63,1945016,0.921222288,0.931446798,ACAA2
6,66291,508,1945016,0.006871872,0.346542214,ACACA
9,66291,441,1945016,0.123627843,0.598787227,ACACB
1,66291,72,1945016,0.356656011,0.407507974,ACAD10
1,66291,67,1945016,0.39916988,0.437919017,ACAD11
2,66291,68,1945016,0.837085114,0.862958063,ACAD9
3,66291,54,1945016,0.405461349,1.630031896,ACADS
2,66291,4,1945016,3.77E-05,14.67028707,ACADVL
1,66291,12,1945016,0.374605296,2.445047845,ACAP1
1,66291,326,1945016,0.002456688,0.090001761,ACAP2
9,66291,36,1945016,3.47E-10,7.335143534,ACAP3
1,66291,45,1945016,0.669929341,0.652012759,ACAT1
1,66291,23,1945016,0.811153581,1.275677136,ACAT2
2,66291,81,1945016,0.651078924,0.724458621,ACBD3
3,66291,29,1945016,0.054084057,3.035231807,ACBD4
1,66291,71,1945016,0.364735875,0.413247523,ACBD5
10,66291,290,1945016,0.971044658,1.011743936,ACBD6
1,66291,24,1945016,0.843680456,1.222523922,ACCS
1,66291,6,1945016,0.103389312,4.890095689,ACD
1,66291,39,1945016,0.777976073,0.752322414,ACE
1,66291,75,1945016,0.333589193,0.391207655,ACER2
5,66291,342,1945016,0.052936319,0.428955762,ACER3
6,66291,27,1945016,1.67E-06,6.520127586,ACHE
7,66291,66,1945016,0.002598894,3.111879075,ACIN1
16,66291,99,1945016,1.81E-10,4.741910971,ACLY
1,66291,107,1945016,0.167718404,0.274210973,ACO1
2,66291,79,1945016,0.676833119,0.742799345,ACO2
4,66291,200,1945016,0.28547149,0.586811483,ACOT11
