Type,Sample,Count ,Log10(Number of mutations)
LIVER,case1,13464,4.129174103
LIVER,case2,62083,4.792972695
LIVER,case3,23783,4.376266636
LIVER,case4,9599,3.982225992
LIVER,case5,48133,4.682442931
LIVER,case6,6612,3.820332845
LIVER,case7,13590,4.133219457
LIVER,case8,7740,3.888740961
LIVER,case9,18982,4.278341969
LIVER,case10,13566,4.132451813
LIVER,case11,9260,3.966610987
LIVER,case12,900516,5.954491434
LIVER,case13,10830,4.034628457
LIVER,case14,12607,4.100611753
LIVER,case15,15331,4.185570484
LIVER,case16,10880,4.036628895
LIVER,case17,6268,3.797128988
LIVER,case18,7386,3.868409303
LIVER,case19,18600,4.269512944
LIVER,case20,12486,4.096423331
LIVER,case21,27413,4.437956566
LIVER,case22,32598,4.513190955
LIVER,case23,7624,3.882182888
LIVER,case24,12708,4.104077206
LIVER,case25,10363,4.015485498
LIVER,case26,15188,4.181500588
LIVER,case27,6898,3.83872319
LIVER,case28,9426,3.974327435
LIVER,case29,6075,3.783546282
LIVER,case30,8779,3.943445049
LIVER,case31,27935,4.446148676
LIVER,case32,12864,4.109376031
LIVER,case33,965987,5.984971282
LIVER,case34,8548,3.931864513
LIVER,case35,5983,3.776919003
LIVER,case36,8277,3.917872955
LIVER,case37,25813,4.411838481
LIVER,case38,7722,3.887729797
LIVER,case39,589451,5.770447709
LIVER,case40,10502,4.021272014
LIVER,case41,959321,5.981963951
LIVER,case42,12257,4.088384186
LIVER,case43,13127,4.118165485
LIVER,case44,12476,4.096075366
LIVER,case45,792301,5.898890204
LIVER,case46,13048,4.115543948
LIVER,case47,13773,4.139028547
LIVER,case48,10730,4.030599722
LIVER,case49,4206,3.623869268
LIVER,case50,35552,4.550864037
LIVER,case51,21050,4.3232521
LIVER,case52,19779,4.29620433
LIVER,case53,14019,4.146717036
LIVER,case54,9982,3.999217566
LIVER,case55,12557,4.098885894
LIVER,case56,9692,3.986413405
LIVER,case57,14020,4.146748014
LIVER,case58,7886,3.896856773
LIVER,case59,13501,4.130365937
LIVER,case60,23495,4.370975449
LIVER,case61,14937,4.174263381
LIVER,case62,21334,4.329072291
LIVER,case63,20859,4.319293484
LIVER,case64,13867,4.141982516
LIVER,case65,10520,4.02201574
LIVER,case66,29760,4.473632927
LIVER,case67,11322,4.053923151
LIVER,case68,10426,4.018117721
LIVER,case69,6397,3.805976351
LIVER,case70,6053,3.781970674
LIVER,case71,764772,5.883531979
LIVER,case72,11611,4.064869625
LIVER,case73,6962,3.842734019
LIVER,case74,33031,4.518921722
LIVER,case75,11649,4.066288645
LIVER,case76,22494,4.352066691
LIVER,case77,48831,4.688695618
LIVER,case78,7395,3.868938178
LIVER,case79,14710,4.167612673
LIVER,case80,68689,4.836887194
LIVER,case81,704649,5.84797284
LIVER,case82,7964,3.901131251
LIVER,case83,9640,3.984077034
LIVER,case84,4555,3.658488381
LIVER,case85,24742,4.393434803
LIVER,case86,9064,3.957319897
LIVER,case87,21068,4.32362331
LIVER,case88,10696,4.029221394
LIVER,case89,977653,5.990184737
LIVER,case90,89006,4.949419284
LIVER,case91,777335,5.890608223
LIVER,case92,8816,3.945271582
LIVER,case93,9102,3.959136831
LIVER,case94,7715,3.88733593
LIVER,case95,12259,4.088455045
LIVER,case96,576794,5.761020734
LIVER,case97,9540,3.979548375
LIVER,case98,6968,3.843108142
LIVER,case99,9958,3.998172122
LIVER,case100,484531,5.685321568
LIVER,case101,1241911,6.094090474
LIVER,case102,4724,3.674309889
LIVER,case103,8383,3.923399466
LIVER,case104,81513,4.911226877
LIVER,case105,11959,4.077694866
LIVER,case106,13428,4.128011333
LIVER,case107,8868,3.947825684
LIVER,case108,1122365,6.050134115
LIVER,case109,7539,3.877313743
LIVER,case110,12675,4.102947968
LIVER,case111,12201,4.086395427
LIVER,case112,8700,3.939519253
LIVER,case113,1069012,6.02898258
LIVER,case114,1023267,6.009988969
LIVER,case115,7845,3.894592948
LIVER,case116,435001,5.638490255
LIVER,case117,11686,4.067665882
LIVER,case118,15003,4.176178109
LIVER,case119,781020,5.892662155
LIVER,case120,698848,5.844382727
LIVER,case121,10558,4.023581658
LIVER,case122,16627,4.220813897
LIVER,case123,11295,4.052886235
LIVER,case124,1527065,6.183857523
LIVER,case125,475754,5.677382448
LIVER,case126,11556,4.062807533
LIVER,case127,6660,3.823474229
LIVER,case128,5271,3.721893016
LIVER,case129,27590,4.4407517
LIVER,case130,16082,4.206340058
LIVER,case131,14754,4.168909779
LIVER,case132,32752,4.515237825
LIVER,case133,9314,3.969136234
LIVER,case134,13557,4.132163596
LIVER,case135,11047,4.043244354
LIVER,case136,13073,4.116375261
LIVER,case137,11807,4.072139563
LIVER,case138,23170,4.364926034
LIVER,case139,12494,4.096701502
LIVER,case140,7652,3.883774961
LIVER,case141,586354,5.768159892
LIVER,case142,11285,4.052501563
LIVER,case143,10001,4.000043427
LIVER,case144,7855,3.895146189
LIVER,case145,17532,4.243831462
LIVER,case146,9535,3.979320697
LIVER,case147,9606,3.982542582
