"SampleDepth" "Sources" "Station" "Time" "Latitude" "Longitude" "Xkm" "Ykm" "Month" "Year" "BottomDepth" "Season" "Discovery" "RelativeDepth"
"14" 2003 3.8 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 1936
"15" 2034 3.63 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 1905
"16" 2068 2.81 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 1871
"17" 2444 2.48 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 1495
"18" 2504 1.98 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 1435
"19" 2477 1.32 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 1462
"20" 2536 1.32 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 1403
"21" 3722 0.83 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 217
"22" 3446 0.66 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 493
"23" 3630 0.66 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 309
"24" 3660 0.66 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 279
"25" 3939 0.66 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 0
"26" 3414 0.5 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 525
"27" 3505 0.5 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 434
"28" 3534 0.5 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 405
"29" 3912 0.5 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 27
"30" 3568 0.33 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 371
"31" 3600 0.33 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 339
"32" 3697 0.33 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 242
"33" 3853 0.33 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 86
"34" 3880 0.33 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 59
"35" 3474 0.17 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 465
"36" 3789 0.17 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 150
"37" 3758 0 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 181
"38" 3818 0 1 3 50.1508 -14.4792 -34.106 16.779 4 2001 3939 1 252 121
"51" 2300 3.71 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 1681
"53" 2243 2.47 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 1738
"54" 2212 2.29 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 1769
"55" 2267 2.29 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 1714
"56" 3333 1.41 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 648
"57" 3277 1.06 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 704
"58" 3394 1.06 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 587
"59" 3362 0.88 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 619
"60" 3164 0.71 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 817
"61" 3187 0.71 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 794
"62" 3249 0.71 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 732
"63" 3541 0.71 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 440
"64" 3423 0.53 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 558
"65" 3623 0.53 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 358
"66" 3857 0.53 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 124
"67" 3888 0.53 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 93
"68" 3448 0.35 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 533
"69" 3480 0.35 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 501
"70" 3509 0.35 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 472
"71" 3658 0.35 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 323
"72" 3716 0.35 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 265
"73" 3743 0.35 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 238
"74" 3771 0.35 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 210
"75" 3916 0.35 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 65
"76" 3219 0.18 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 762
"77" 3303 0.18 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 678
"78" 3565 0.18 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 416
"79" 3686 0.18 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 295
"80" 3798 0.18 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 183
"81" 3832 0.18 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 149
"82" 3595 0 2 3 50.091 -14.4665 -33.294 10.112 4 2001 3981 1 252 386
"94" 2131 2.49 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 1846
"95" 2169 2.49 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 1808
"96" 2202 2.49 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 1775
"97" 2097 1.87 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 1880
"98" 2625 1.87 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 1352
"99" 2656 1.71 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 1321
"100" 2726 1.09 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 1251
"101" 3965 1.09 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 12
"102" 3750 0.62 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 227
"103" 3790 0.62 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 187
"104" 3927 0.62 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 50
"105" 2692 0.47 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 1285
"106" 3890 0.47 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 87
"107" 3856 0.31 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 121
"108" 3716 0.16 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 261
"109" 3824 0.16 3 1 50.1337 -14.4992 -35.543 14.89 4 2001 3977 1 252 153
