GENE,ANNOTATION,z
TMCC1,ARID3A,1
MYOM1,ARID3A,1
CUBN,ARID3A,1
CNOT4,ARID3A,1
AK124056,ARID3A,1
ABHD2,ARID3A,1
ABCC4,ARID3A,1
TIMM13,CREB1,1
SIGIRR,CREB1,1
LOC648691,CREB1,1
C11orf35,CREB1,1
C11orf35,CREB1,1
TIMM13,E2F4,1
TERT,E2F4,1
MYOM1,E2F4,1
HBQ1,E2F4,1
CNOT4,E2F4,1
AK124056,E2F4,1
ABHD2,E2F4,1
SMARCD3,EZH2,1
RPS6KA2,EZH2,1
IRX4,EZH2,1
HOXD3,EZH2,1
HOXA10-HOXA9,EZH2,1
HBQ1,EZH2,1
GNAL,EZH2,1
ESAM,EZH2,1
C11orf35,EZH2,1
C11orf35,EZH2,1
TIMM13,FOXP2,1
SIGIRR,FOXP2,1
LOC648691,FOXP2,1
C11orf35,FOXP2,1
C11orf35,FOXP2,1
ABHD2,FOXP2,1
TIMM13,GABPA,1
TERT,GABPA,1
SIGIRR,GABPA,1
LOC648691,GABPA,1
CUBN,GABPA,1
C11orf35,GABPA,1
C11orf35,GABPA,1
AK124056,GABPA,1
ABHD2,GABPA,1
ABCC4,GABPA,1
"5S_rRNA,TET3",GABPA,1
TIMM13,H3k27Ac,1
TIMM13,H3k27Ac,1
TIMM13,H3k27Ac,1
TIMM13,H3k27Ac,1
TIMM13,H3k27Ac,1
TIMM13,H3k27Ac,1
TIMM13,H3k27Ac,1
TBC1D1,H3k27Ac,1
TBC1D1,H3k27Ac,1
MYOM1,H3k27Ac,1
MYOM1,H3k27Ac,1
MYOM1,H3k27Ac,1
MYOM1,H3k27Ac,1
MYOM1,H3k27Ac,1
MICA,H3k27Ac,1
CNOT4,H3k27Ac,1
CNOT4,H3k27Ac,1
CNOT4,H3k27Ac,1
CNOT4,H3k27Ac,1
AK124056,H3k27Ac,1
AK124056,H3k27Ac,1
AK124056,H3k27Ac,1
AK124056,H3k27Ac,1
AK124056,H3k27Ac,1
AK124056,H3k27Ac,1
ABHD2,H3k27Ac,1
ABHD2,H3k27Ac,1
ABHD2,H3k27Ac,1
ABHD2,H3k27Ac,1
ABHD2,H3k27Ac,1
ABHD2,H3k27Ac,1
ABHD2,H3k27Ac,1
ABHD2,H3k27Ac,1
TIMM13,H3k27me3,1
TIMM13,H3k27me3,1
TIMM13,H3k27me3,1
TIMM13,H3k27me3,1
TIMM13,H3k27me3,1
TIMM13,H3k27me3,1
TIMM13,H3k27me3,1
TERT,H3k27me3,1
TERT,H3k27me3,1
TERT,H3k27me3,1
TERT,H3k27me3,1
TERT,H3k27me3,1
SMARCD3,H3k27me3,1
RPS6KA2,H3k27me3,1
LOC648691,H3k27me3,1
LOC648691,H3k27me3,1
LOC648691,H3k27me3,1
LOC648691,H3k27me3,1
LOC648691,H3k27me3,1
LOC648691,H3k27me3,1
"LINC00494,AX746653",H3k27me3,1
IRX4,H3k27me3,1
IRX4,H3k27me3,1
HYDIN,H3k27me3,1
HOXD3,H3k27me3,1
HOXA10-HOXA9,H3k27me3,1
GNAL,H3k27me3,1
ESAM,H3k27me3,1
ESAM,H3k27me3,1
"DMBT1,C10orf120",H3k27me3,1
CNOT4,H3k27me3,1
CNOT4,H3k27me3,1
CNOT4,H3k27me3,1
CNOT4,H3k27me3,1
C11orf35,H3k27me3,1
C11orf35,H3k27me3,1
