Cancer,TF,logPvalue
BREAST,RDBP,11.37778598
LIVER,RDBP,0
LUNG,RDBP,0
BREAST,ZZZ3,2.67635855
LIVER,ZZZ3,0
LUNG,ZZZ3,0
BREAST,ZKSCAN1,2.027212184
LIVER,ZKSCAN1,0
LUNG,ZKSCAN1,0
BREAST,USF2,6.347343536
LIVER,USF2,2.118521019
LUNG,USF2,0.165155463
BREAST,SUZ12,16.7721133
LIVER,SUZ12,0.651695137
LUNG,SUZ12,2.679967393
BREAST,SMARCC1,2.422758509
LIVER,SMARCC1,0.008120542
LUNG,SMARCC1,0.131469937
BREAST,SMARCB1,2.984688036
LIVER,SMARCB1,0
LUNG,SMARCB1,0
BREAST,SAP30,10.17883897
LIVER,SAP30,0.562178976
LUNG,SAP30,2.240827155
BREAST,PPARGC1A,1.731154701
LIVER,PPARGC1A,0
LUNG,PPARGC1A,0
BREAST,POLR2A,25.53477583
LIVER,POLR2A,6.555617673
LUNG,POLR2A,6.555955204
BREAST,NR3C1,2.756140832
LUNG,NR3C1,0.004059673
LIVER,NR3C1,2.106712838
BREAST,NR2C2,12.08884239
LIVER,NR2C2,0
LUNG,NR2C2,0
BREAST,MYC,14.5067468
LIVER,MYC,3.457374967
LUNG,MYC,0.014546349
BREAST,MXI1,7.690021065
LIVER,MXI1,0
LUNG,MXI1,2.29031435
BREAST,MAX,10.42071338
LIVER,MAX,1.973741862
LUNG,MAX,0
BREAST,HDAC6,2.330777149
LIVER,HDAC6,0
LUNG,HDAC6,0
BREAST,GABPA,0
LIVER,GABPA,4.954677021
LUNG,GABPA,0.12845995
BREAST,FOXP2,10.00005489
LIVER,FOXP2,1.438816418
LUNG,FOXP2,0.725919912
BREAST,EZH2,3.04672818
LIVER,EZH2,2.150006739
LUNG,EZH2,2.454021669
BREAST,E2F6,9.085732866
LIVER,E2F6,0
LUNG,E2F6,1.728278758
BREAST,E2F4,6.620437067
LIVER,E2F4,1.43731609
LUNG,E2F4,0
BREAST,CTCFL,
LIVER,CTCFL,0
LUNG,CTCFL,1.47117942
BREAST,CREB1,4.052430555
LIVER,CREB1,2.481641118
LUNG,CREB1,0
BREAST,ARID3A,14.28874284
LIVER,ARID3A,2.026079636
LUNG,ARID3A,0
