Type,Region,count,Fraction of Total Mutations,percent
LIVER,Dnase,3922170,0.168502225,20.93%
LIVER,H3K27Ac,1050308,0.045122785,17.04%
LIVER,H3K4me1,3109894,0.133605646,16.85%
LIVER,H3K4me3,859496,0.036925219,2.96%
LIVER,PRR,6096614,0.261919555,6.05%
LUNG,Dnase,757851,0.170448573,4.51%
LUNG,H3K27Ac,268964,0.060492801,2.69%
LUNG,H3K4me1,634834,0.14278077,14.28%
LUNG,H3K4me3,234590,0.052761731,13.36%
LUNG,PRR,1233701,0.277472187,1.75%
PANCREAS,Dnase,255277,0.209302287,5.28%
PANCREAS,H3K27Ac,36129,0.029622263,3.69%
PANCREAS,H3K4me1,32756,0.026856731,22.67%
PANCREAS,H3K4me3,21343,0.017499182,27.75%
PANCREAS,PRR,276545,0.226739977,26.19%
